"","resp1","resp2","lance1","lance2","idade","sexo","escolar","infraestrutura","temperatura","renda","objetivo"
"390",1,0,30,60,38,1,16,4,4,2040,4
"391",1,1,1,28,39,2,20,4,4,5000,4
"392",0,0,63,39,50,1,16,5,3,4000,3
"393",0,1,42,5,30,1,16,4,4,1300,4
"394",1,0,37,59,41,2,20,4,2,600,4
"395",0,0,41,25,35,2,16,3,4,1000,4
"396",1,1,39,40,36,1,16,4,3,2000,4
"397",1,1,38,45,41,1,19,4,4,2000,4
"398",1,0,18,32,36,1,20,3,4,14000,4
"399",1,1,29,62,23,2,16,4,4,1800,4
"400",1,1,13,16,59,2,22,5,4,1800,4
"401",1,1,13,16,53,1,13,4,4,2000,7
"402",1,1,46,48,59,2,10,5,3,1000,4
"403",0,0,25,2,33,2,20,3,3,3000,4
"404",0,1,48,36,41,1,20,4,4,18000,4
"405",0,0,50,24,23,1,16,4,4,1000,2
"406",0,0,70,20,41,1,20,5,4,15000,2
"407",0,1,37,10,52,2,20,3,4,1000,4
"408",0,1,15,9,49,2,15,3,3,2000,4
"409",0,1,53,52,36,2,15,3,4,15000,4
"410",0,0,50,11,39,1,20,5,4,6000,4
"411",0,0,32,18,61,2,16,4,3,1800,4
"412",0,0,62,43,20,1,20,5,4,998,3
"413",1,1,44,64,58,1,16,5,5,8400,4
"414",0,0,30,14,61,1,16,3,4,8000,3
"415",0,0,70,22,35,1,16,4,4,3000,2
"416",0,0,12,8,69,1,10,4,4,2000,2
"417",1,1,10,49,38,1,16,5,5,3400,2
"418",1,1,69,70,47,1,16,5,4,2000,7
"419",1,1,69,70,25,1,16,4,4,998,2
"420",1,1,51,63,52,2,20,4,4,5800,4
"421",1,1,27,30,36,2,13,3,2,998,2
"422",1,1,70,75,34,2,2,4,4,8000,4
"423",0,0,65,38,62,2,1,4,4,7000,4
"424",0,0,55,6,54,1,20,4,4,10000,2
"425",0,0,31,17,30,2,16,4,4,998,4
"426",1,1,65,69,47,1,20,5,3,10000,7
"427",0,0,33,8,61,2,16,3,4,3000,4
"428",0,0,22,10,22,2,16,4,5,1340,2
"429",0,0,11,7,61,1,16,3,3,4000,4
"430",1,1,62,66,36,1,16,1,5,4000,4
"431",1,0,22,40,39,2,20,4,3,2200,4
"432",0,0,15,15,61,2,16,5,3,1497,7
"433",1,1,26,50,28,2,20,4,4,2000,2
"434",0,0,37,27,37,1,20,3,4,998,3
"435",1,0,28,46,37,2,20,2,3,4000,4
"436",0,1,55,17,42,2,20,4,4,6000,4
"437",1,0,44,48,75,2,20,3,5,5000,4
"438",1,1,52,54,29,2,20,4,4,1000,4
"439",1,1,40,54,27,2,16,3,3,998,7
"440",0,1,55,2,31,1,20,4,5,7000,4
"441",1,1,62,64,37,1,19,3,4,3200,4
"442",0,1,11,1,43,2,22,1,4,3000,4
"443",1,0,27,29,30,1,20,5,3,8000,2
"444",0,0,69,52,32,2,20,5,5,2000,4
"445",1,1,66,68,39,1,16,4,3,5000,4
"446",0,0,11,2,19,2,17,4,4,200,3
"447",1,1,31,56,36,1,20,4,4,15000,4
"448",1,1,49,55,41,1,22,3,2,10000,4
"449",1,0,41,46,74,2,20,4,5,3000,4
"450",0,0,16,9,19,1,2,3,3,600,2
"451",1,0,3,37,23,2,22,4,3,2100,3
"452",0,1,13,13,40,2,20,3,4,4500,2
"453",0,0,13,6,19,2,16,4,4,200,3
"454",0,0,45,34,30,1,20,4,3,3000,4
"455",0,1,25,7,27,2,22,4,4,3000,2
"456",1,1,34,61,40,1,26,4,4,7500,3
"457",0,1,54,50,25,1,20,4,4,300,2
"458",0,0,18,13,20,2,16,4,3,800,7
"459",0,0,63,60,37,1,12,4,4,1200,7
"460",1,0,3,12,22,1,16,4,4,1500,2
"461",0,1,23,10,24,1,16,4,5,1200,2
"462",0,1,48,6,60,1,2,4,4,3800,3
"463",0,0,34,33,58,1,20,4,4,3800,3
"464",0,1,61,9,34,1,20,4,3,2100,3
"465",0,0,31,28,40,2,19,3,4,2200,6
"466",0,0,58,45,70,1,1,4,5,1800,3
"467",0,1,22,10,19,2,16,4,3,200,1
"468",0,0,44,40,30,2,9,3,4,1100,7
"469",0,0,60,53,40,1,20,4,4,3000,3
"470",1,1,16,44,41,2,20,3,4,2700,4
"471",1,1,53,54,22,1,4,4,4,1000,7
"472",0,0,58,35,22,1,4,2,3,1000,7
"473",0,1,30,20,33,1,22,4,4,4900,4
"474",0,1,27,10,27,2,6,3,4,900,3
"475",0,0,51,29,39,2,20,4,4,1700,7
"476",0,1,61,10,26,1,20,3,4,3000,2
"477",0,0,28,27,27,1,20,3,4,1800,3
"478",1,1,9,13,18,1,8,3,3,600,3
"479",0,1,27,27,30,1,12,3,3,1200,2
"480",1,0,5,42,24,1,15,3,2,1100,2
"481",0,1,14,1,39,1,20,2,3,3000,4
"482",1,0,17,39,40,1,22,4,4,5000,3
"483",0,0,39,29,60,2,9,2,3,2500,4
"484",0,0,21,18,53,1,20,3,3,4000,4
"485",1,0,12,51,35,1,16,3,4,1700,4
"486",0,0,70,30,37,2,2,4,4,1700,4
"487",1,1,11,18,21,2,16,2,4,1200,7
"488",1,0,8,50,22,1,16,2,3,900,7
"489",0,0,51,36,19,1,16,2,4,100,7
"490",0,0,23,11,22,2,1,2,3,100,7
"491",0,0,39,18,60,1,11,2,4,1300,3
"492",0,1,34,2,22,2,1,3,4,300,2
"493",0,0,16,9,43,2,20,3,2,998,3
"494",0,0,45,45,19,1,16,3,4,500,3
"495",1,0,34,61,37,2,16,5,3,1200,2
"496",1,0,18,51,47,1,20,4,2,998,3
"497",0,0,63,63,38,1,20,3,1,998,3
"498",1,0,3,37,21,1,16,3,4,600,3
"499",0,1,13,2,23,1,20,3,3,750,3
"500",1,0,13,55,26,1,16,3,3,700,3
"501",1,1,48,50,45,1,15,3,1,1500,3
"502",0,0,21,16.4174243050442,40,2,13,4,2,988,2
"503",0,1,54,24,39,2,15,5,1,988,3
"504",1,1,27,45,26,1,19,4,1,3000,3
"505",1,1,56,58,24,1,17,1,1,1500,3
"506",1,1,9,16,25,2,17,4,2,2000,3
"507",0,1,53,44,33,1,19,4,1,2000,3
"508",1,1,33,38,41,2,12,4,1,1500,3
"509",1,1,23,48,22,1,17,4,1,1700,3
"510",0,0,41,34.5968757625672,24,1,15,4,1,1600,3
"511",0,0,33,27.255437353462,22,2,15,4,1,988,2
"512",1,1,13,17,25,1,15,3,1,1200,3
"513",0,0,25,20,49,2,19,3,1,1100,3
"514",0,1,20,10,27,2,15,3,2,1200,3
"515",0,1,21,20,39,2,14,5,1,400,3
"516",1,1,6,20,42,2,21,3,1,1800,2
"517",1,1,3,11,45,2,17,4,1,988,3
"518",0,0,55,47.5838015129043,25,1,17,4,1,800,3
"519",0,1,11,9,23,2,15,4,1,500,2
"520",1,1,39,57,52,1,6,4,1,800,3
"521",0,1,40,16,22,2,17,4,1,988,3
"522",0,1,28,21,36,1,13,4,1,988,3
"523",0,1,31,7,23,1,17,5,1,500,3
"524",1,1,14,55,61,1,17,3,1,5000,3
"525",0,1,18,6,53,2,15,3,2,988,3
"526",1,1,5,35,27,1,14,5,1,1600,3
"527",0,0,43,36.442561475698,30,1,13,4,1,988,3
"528",1,1,20,33,58,1,15,4,1,4500,4
"529",1,1,28,39,21,1,15,4,1,300,2
"530",1,1,2,31,42,2,15,4,2,2000,3
"531",0,1,13,8,40,1,12,5,1,1300,2
"532",0,0,33,27.255437353462,64,2,8,3,1,998,2
"533",0,0,50,42.9289321881345,68,1,5,3,1,998,4
"534",0,0,11,7.6833752096446,26,1,19,3,2,1050,2
"535",0,1,51,20,43,1,15,5,1,1500,2
"536",1,1,43,8,42,1,15,4,1,1000,4
"537",0,0,33,27.255437353462,46,2,14,3,2,600,3
"538",0,0,17,12.8768943743823,49,2,11,4,1,500,2
"539",1,1,6,10,59,1,14,4,1,2000,3
"540",1,1,27,37,27,1,15,3,1,1900,3
"541",1,1,56,23,34,1,15,3,1,1500,4
"542",0,0,42,35.5192593015921,35,2,15,3,1,998,3
"543",0,0,18,13.7573593128807,38,2,19,4,1,1200,3
"544",0,0,7,4.35424868893541,60,2,12,5,1,998,4
"545",0,0,30,24.5227744249483,71,2,9,4,1,1000,3
"546",1,1,24,27,33,1,17,4,1,3000,2
"547",0,0,36,30,35,2,15,3,1,998,3
"548",1,1,36,26,42,1,15,4,1,5988,3
"549",1,1,46,50,60,2,12,4,1,2000,3
"550",1,1,28,56,35,1,15,5,1,1100,2
"551",1,1,7,26,60,2,15,3,2,3000,3
"552",0,0,51,43.8585715714571,34,1,15,4,1,2000,2
"553",1,1,48,22,40,1,12,4,1,1000,2
"554",0,0,38,31.835585997031,36,1,15,3,2,1800,3
"555",1,1,7,16,46,1,15,5,1,1500,4
"556",1,1,55,22,28,1,19,3,2,1500,3
"557",1,1,10,28,26,1,15,2,1,1000,3
"558",1,1,43,10,56,1,15,3,1,6000,2
"559",0,0,41,34.5968757625672,22,2,17,4,1,1050,3
"560",1,1,58,9,59,1,12,4,1,3000,3
"561",0,0,26,20.9009804864072,19,2,15,5,1,1000,4
"562",0,0,50,42.9289321881345,78,1,17,2,1,3000,2
"563",0,0,56,48.5166852264521,24,1,15,4,1,1000,2
"564",0,0,31,25.43223563717,35,1,0,5,1,1500,2
"565",1,1,26,20,23,2,17,4,1,400,2
"566",1,1,41,43,24,1,15,4,1,1000,2
"567",1,1,11,37,30,1,15,5,1,1500,3
"568",1,1,12,47,40,1,0,5,1,1000,3
"569",1,1,13,20,29,2,17,5,1,2000,3
"570",0,0,17,12.8768943743823,42,1,15,5,1,2000,3
"571",0,0,57,49.4501655647292,25,1,15,5,1,1000,2
"572",0,0,38,31.835585997031,30,1,0,4,1,1000,2
"573",0,0,30,24.5227744249483,45,1,15,5,1,1500,3
"574",1,1,25,30,32,2,15,4,1,400,2
"575",1,1,51,18,26,2,17,4,1,1800,3
"576",0,0,52,44.788897449072,35,2,19,3,1,2500,3
"577",1,1,7,11,35,1,0,4,1,1000,2
"578",0,0,42,35.5192593015921,38,2,15,5,2,1500,2
"579",1,1,46,36,51,1,15,5,1,1000,3
"580",0,0,39,32.7550020016016,33,1,15,4,1,1500,2
"581",1,1,52,22,50,1,15,4,1,2000,2
"582",1,1,25,33,38,2,15,5,2,1000,3
"583",1,1,16,20,53,1,15,5,2,2000,3
"584",1,1,42,52,20,1,15,5,1,500,2
"585",0,1,28,16,24,2,17,5,2,700,3
"586",1,1,10,23,29,1,19,4,1,2500,2
"587",1,1,7,14,31,1,12,4,2,1000,3
"588",1,1,58,6,27,1,14,3,1,1800,3
"589",1,1,7,8,21,2,15,5,1,1500,2
"590",1,1,14,14,52,2,12,4,1,2300,3
"591",1,1,30,15,25,1,15,4,1,1200,3
"592",1,1,20,13,46,1,19,4,1,2500,3
"593",0,0,20,15.5278640450004,57,1,9,3,2,2500,4
"594",0,1,45,20,47,1,19,4,1,3000,4
"595",0,0,20,15.5278640450004,31,2,14,5,1,1000,3
"596",0,0,24,19.1010205144336,36,1,19,5,1,3500,4
"597",0,0,37,30.9172374697018,63,1,9,3,1,3000,4
"598",0,0,12,8.53589838486225,37,2,14,5,1,1200,3
"599",0,0,41,34.5968757625672,29,2,19,4,1,1800,4
"600",1,1,30,12,33,1,19,5,1,2500,4
"601",0,1,29,19,22,1,17,3,1,1000,3
"602",1,1,41,24,32,2,19,4,1,1500,3
"603",1,1,30,13,28,1,15,4,1,2000,3
"604",0,0,49,42,25,2,15,4,1,800,3
"605",0,0,33,27.255437353462,38,2,14,3,1,1200,3
"606",1,1,46,7,34,1,19,4,1,1700,3
"607",1,1,49,7,49,1,19,3,1,3000,3
"608",0,0,8,5.17157287525381,21,1,15,3,1,998,7
"609",1,1,33,12,37,2,9,3,1,2300,3
"610",0,1,14,7,53,2,5,5,1,998,3
"611",0,0,33,27.255437353462,32,1,19,4,2,3400,3
"612",0,0,42,36,80,2,19,3,1,998,3
"613",1,1,19,45,29,1,19,4,1,1200,3
"614",1,1,23,48,56,1,19,4,1,10000,3
"615",1,1,47,52,45,2,19,5,2,4500,4
"616",1,1,54,58,37,1,17,3,2,4000,4
"617",1,1,18,20,44,2,19,4,1,4000,4
"618",1,1,16,30,43,2,19,4,1,9000,4
"619",0,0,42,26,61,2,19,4,1,998,7
"620",0,0,51,4,66,2,19,4,1,2000,3
"621",1,1,18,45,32,1,19,5,1,5000,4
"622",0,0,28,25,32,2,19,5,1,1500,2
"623",1,1,15,46,35,1,19,4,1,2300,7
"624",1,1,54,56,40,2,19,5,1,3500,4
"625",1,1,44,46,41,1,21,4,1,3500,4
"626",0,0,14,12,37,1,19,4,1,3000,3
"627",1,1,12,44,64,2,8,5,2,998,4
"628",0,0,53,33,40,1,19,4,1,3000,3
"629",0,1,14,4,31,2,15,4,1,700,4
"630",1,1,20,21,19,2,17,5,1,1300,3
"631",1,1,14,18,74,1,5,4,1,998,2
"632",1,1,19,23,58,1,19,5,1,15000,3
"633",1,1,42,57,42,1,12,4,1,2000,6
"634",0,0,37,35,29,1,17,4,1,2000,7
"635",0,0,23,16,72,1,19,5,1,15000,3
"636",1,1,55,59,39,2,19,4,1,3000,3
"637",1,1,37,49,60,1,26,4,1,15000,3
"638",1,1,8,38,80,2,15,4,1,10000,3
"639",0,1,40,25,56,2,15,5,1,2000,4
"640",1,1,28,40,48,2,19,4,1,4000,6
"641",0,1,46,28,72,1,19,5,1,10000,2
"642",1,1,33,49,22,1,19,5,1,1800,3
"643",1,1,19,41,35,2,15,5,1,998,3
"644",1,1,18,37,52,2,15,4,1,1500,6
"645",0,1,50,47,26,1,17,3,1,600,3
"646",1,1,10,26,24,1,17,3,1,1996,3
"647",0,1,36,26,48,1,15,3,1,2000,6
"648",1,1,8,10,27,2,19,5,1,2994,6
"649",0,1,57,17,19,1,15,4,1,1996,2
"650",1,1,52,56,52,2,15,4,1,2495,3
"651",0,0,59,45,49,2,14,5,1,1100,2
"652",0,0,54,37,40,1,12,3,1,998,2
"653",1,1,34,60,44,2,8,5,1,998,2
"654",0,0,48,19,60,1,17,3,1,6000,7
"655",0,0,10,4,75,1,19,3,2,2994,2
"656",1,1,16,17,43,2,19,3,1,5000,3
"657",1,1,21,36,38,2,17,5,1,998,2
"658",1,1,11,26,28,1,17,4,1,3000,7
"659",1,1,48,51,34,2,19,3,1,7500,3
"660",1,1,34,41,62,1,9,3,1,4980,2
"661",1,1,25,46,42,1,19,5,1,3992,2
"662",0,0,55,41,67,2,19,4,1,3992,3
"663",1,1,12,13,38,2,15,4,1,1144,4
"664",0,0,49,42,19,1,17,4,1,500,6
"665",1,1,53,56,31,1,19,4,1,4000,3
"666",1,1,39,44,35,2,15,3,1,2000,4
"667",0,1,47,33,43,1,11,3,1,1000,4
"668",1,1,28,38,37,2,15,4,1,170,4
"669",1,1,47,58,24,1,15,4,1,1000,6
"670",1,1,19,20,75,2,15,4,1,6000,2
"671",1,1,52,56,66,1,19,3,1,5000,3
"672",1,1,9,21,56,2,19,4,1,6000,2
"673",0,1,41,21,86,2,19,5,1,10000,2
"674",1,1,8,60,22,1,15,5,1,1500,3
"675",0,0,55,10,51,2,19,4,1,1000,4
"676",0,1,14,5,33,1,19,4,1,1200,2
"677",1,1,58,59,20,2,15,5,1,750,2
"678",1,1,41,52,48,1,15,4,1,1100,3
"679",1,1,7,58,23,1,17,4,1,1200,3
"680",0,0,32,28,37,2,15,5,1,998,6
"681",1,1,25,32,22,1,15,4,1,1000,2
"682",0,1,39,25,37,2,15,4,1,1000,4
"683",1,1,41,47,31,2,15,5,1,998,4
"684",0,1,34,18,27,1,15,4,1,1300,3
"685",1,1,4,8,28,1,15,4,1,2200,3
"686",0,0,57,42,37,1,15,3,1,1500,6
"687",1,1,7,50,28,2,17,4,1,1000,2
"688",1,1,5,35,27,2,17,3,1,1000,6
"689",1,1,14,32,42,1,26,4,1,10000,4
"690",1,1,50,58,82,2,17,5,1,4000,3
"691",1,1,47,59,37,1,15,5,1,1200,6
"692",0,0,55,26,34,2,17,5,1,1200,2
"693",0,0,57,21,31,2,15,5,1,500,2
"694",1,1,10,12,34,2,19,4,1,1996,3
"695",1,1,25,28,25,1,17,1,1,880,7
"696",1,1,43,55,25,2,15,4,1,998,6
"697",0,0,49,32,55,2,8,4,1,41,4
"698",0,0,57,47,36,1,17,3,1,1800,6
"699",1,1,34,39,33,1,19,4,1,3200,4
"700",1,1,5,7,18,2,17,4,1,1000,2
"701",1,1,8,13,19,2,17,4,1,998,2
"702",0,0,13,12,32,1,19,4,1,6000,3
"703",1,1,36,46,38,1,15,5,1,3800,3
"704",1,1,10,14,25,2,19,4,1,1200,7
"705",1,1,6,25,19,1,17,5,1,2000,3
"706",1,1,7,17,26,1,19,4,1,2500,3
"707",1,1,43,52,41,1,19,3,1,5000,3
"708",1,1,4,11,19,1,15,4,1,800,2
"709",1,1,42,47,56,1,15,4,1,1800,3
"710",0,0,35,30,36,2,19,4,1,6200,3
"711",1,1,12,38,19,1,15,5,1,1200,3
"712",1,1,9,40,39,1,19,4,1,18000,3
"713",1,1,15,24,19,2,17,3,1,400,2
"714",1,1,10,52,25,1,17,3,1,800,2
"715",1,1,20,43,25,2,15,4,1,800,2
"716",0,0,43,15,18,1,15,4,2,850,2
"717",0,0,47,30,56,1,14,3,1,1500,4
"718",1,1,13,21,31,1,15,5,1,2500,2
"719",1,1,28,43,32,2,15,4,1,1923,4
"720",1,1,47,48,37,1,10,4,1,1300,2
"721",1,1,9,17,19,2,15,4,1,100,2
"722",1,1,7,8,18,2,14,4,1,400,2
"723",0,0,39,18,52,2,15,4,1,1100,2
"724",0,0,59,28,42,2,13,5,1,1500,3
"725",1,1,53,55,50,1,9,3,1,1500,2
"726",1,1,36,59,44,1,15,5,1,1996,3
"727",1,1,8,15,25,2,19,3,1,3500,4
"728",1,1,46,55,80,1,19,4,1,10000,3
"729",1,1,8,11,21,2,17,4,1,1300,2
"730",1,1,11,18,43,2,15,5,1,998,2
"731",1,1,41,58,20,2,15,4,1,500,2
"732",1,1,58,59,18,2,15,4,1,100,2
"733",1,1,13,29,18,1,15,4,1,400,3
"734",1,1,39,51,26,2,19,5,1,1000,2
"735",1,1,24,58,27,1,19,4,1,998,2
"736",0,0,48,10,38,2,15,4,1,998,3
"737",1,1,5,12,21,1,15,4,1,600,3
"738",1,1,40,44,36,2,26,4,2,10000,3
"739",0,0,40,37,37,2,19,4,1,2000,3
"740",1,1,37,40,34,1,19,4,2,4500,4
"741",1,1,30,32,30,2,15,4,2,5000,4
"742",1,1,18,57,50,1,15,5,1,200,2
"743",1,1,5,7,27,1,19,4,1,5000,3
"744",1,1,5,21,20,2,17,4,1,1996,2
"745",1,1,16,45,25,1,17,5,1,2000,2
"746",1,1,9,11,30,2,15,4,1,1000,2
"747",1,1,35,38,34,2,19,4,1,1900,4
"748",1,1,19,21,35,1,17,4,1,1600,4
"749",0,0,37,10,49,2,19,3,2,4000,3
"750",0,0,48,36,43,2,19,4,2,4000,3
"751",1,1,25,33,51,1,15,4,1,2000,2
"752",1,1,11,36,60,2,19,2,1,15000,4
"753",0,0,57,52,64,2,19,1,2,998,4
"754",0,0,33,27,26,2,19,5,1,2900,2
"755",0,0,21,17,39,2,19,4,1,2000,2
"756",0,0,51,42,82,2,9,5,1,1500,2
"757",1,1,18,20,48,1,19,4,1,4990,2
"758",1,1,34,57,43,2,19,3,1,14000,3
"759",1,1,47,50,44,1,19,3,1,26000,3
"760",1,1,35,59,32,1,19,4,1,12000,4
"761",1,0,28,51,55,1,19,4,1,10000,3
"762",0,0,53,50,39,2,19,5,1,3000,2
"763",0,0,36,21,29,2,19,3,1,3500,3
"764",1,1,12,38,20,2,15,4,1,500,2
"765",1,1,11,32,32,2,19,4,1,5000,2
